userSeq,placeSeq,rating,timestamp
1,2153,3 ,1260759144
1,10810,3 ,1260759179
1,5304,3 ,1260759182
1,3802,2 ,1260759185
1,6834,4 ,1260759205
1,10269,2 ,1260759151
1,3981,2 ,1260759187
1,12436,2 ,1260759148
1,7456,4 ,1260759125
1,4101,2 ,1260759131
1,631,3 ,1260759135
1,3487,1 ,1260759203
1,4799,4 ,1260759191
1,1393,4 ,1260759139
1,12980,3 ,1260759194
1,4491,2 ,1260759198
1,12101,2 ,1260759108
1,976,3 ,1260759113
1,3576,1 ,1260759200
1,5403,3 ,1260759117
2,5655,4 ,835355493
2,5101,5 ,835355681
2,7645,5 ,835355604
2,6488,4 ,835355552
2,112,4 ,835355586
2,6905,3 ,835356031
2,8886,3 ,835355749
2,12883,4 ,835355532
2,3102,3 ,835356016
2,5675,5 ,835355395
2,12358,4 ,835355441
2,15065,3 ,835355493
2,12305,3 ,835355441
2,155,3 ,835355710
2,13249,3 ,835355511
2,5738,3 ,835355664
2,10679,3 ,835355511
2,12821,5 ,835355840
2,7490,1 ,835355749
2,12181,3 ,835355552
2,1661,3 ,835355664
2,1869,3 ,835355896
2,13050,4 ,835355511
2,366,4 ,835355681
2,7524,5 ,835355697
2,5990,5 ,835355586
2,13345,3 ,835355767
2,15157,4 ,835355779
2,7137,3 ,835355492
2,7539,4 ,835355395
2,4941,3 ,835355532
2,6460,4 ,835356044
2,6205,2 ,835355551
2,3881,1 ,835355918
2,7610,3 ,835355492
2,8078,4 ,835355441
2,1661,4 ,835355697
2,9936,3 ,835355628
2,2221,3 ,835355749
2,15052,3 ,835355604
2,13081,3 ,835355619
2,2853,2 ,835355932
2,15119,3 ,835355968
2,5190,3 ,835356094
2,14930,3 ,835355710
2,894,3 ,835356165
2,3611,2 ,835356246
2,12752,3 ,835355532
2,8450,4 ,835355604
2,12980,3 ,835355511
2,2553,4 ,835355790
2,4526,2 ,835355828
2,10394,4 ,835355643
2,40,3 ,835355918
2,1380,3 ,835355880
2,4774,4 ,835355731
2,8205,4 ,835355860
2,2214,4 ,835355719
2,6975,4 ,835355817
2,4806,4 ,835355731
2,7371,4 ,835356199
2,6890,3 ,835355767
2,11890,3 ,835356109
2,3592,5 ,835355767
2,12909,3 ,835355860
2,13866,5 ,835355817
2,687,3 ,835355790
2,3310,3 ,835355779
2,14155,3 ,835355441
2,3616,5 ,835355697
2,862,5 ,835355395
2,22,5 ,835355395
2,1882,3 ,835355511
2,1496,3 ,835355932
2,7482,4 ,835356141
2,3769,4 ,835355978
3,46,3 ,1298861675
3,6123,4 ,1298922049
3,3985,4 ,1298861637
3,9075,3 ,1298861761
